USD (AM),USD (PM),GBP (AM),GBP (PM),EURO (AM),EURO (PM),Year,Month,Day,DayOfWeek,USD_Change,GBP_Change,EURO_Change,USD_Return,GBP_Return,EURO_Return,USD_MA_7,USD_MA_30
1250.5,1251.55,955.26,956.06,1081.68,1081.34,2018,6,28,3,1.0499999999999545,0.7999999999999545,-0.3400000000001455,-0.0024310537223019013,0.002821569799762891,0.0,1263.5214285714287,1287.3516666666665
1250.55,1250.45,950.29,950.59,1073.85,1074.14,2018,6,29,4,-0.09999999999990905,0.3000000000000682,0.290000000000191,-0.0008789101514121711,-0.005721398238604181,-0.006658405311927629,1260.1285714285714,1286.05
1249.0,1247.8,948.87,951.7,1072.39,1075.1,2018,7,2,0,-1.2000000000000455,2.830000000000041,2.709999999999809,-0.002119237074653224,0.0011676958520498992,0.0008937382464109245,1257.5071428571428,1284.7
1245.85,1251.75,944.85,950.2,1068.81,1074.0,2018,7,3,1,5.900000000000091,5.350000000000023,5.190000000000055,0.0031655714056739725,-0.0015761269307554837,-0.0010231606362197665,1255.0214285714285,1283.48
1256.9,1255.65,951.47,950.15,1079.8,1078.35,2018,7,4,2,-1.25,-1.32000000000005,-1.4500000000000455,0.003115638106650831,-5.2620500947231363e-05,0.004050279329608886,1253.1571428571428,1282.2333333333333
1252.5,1255.5,946.89,949.79,1071.64,1073.08,2018,7,5,3,3.0,2.8999999999999773,1.4399999999998272,-0.00011946004061647031,-0.0003788875440720041,-0.004887096026336524,1252.4714285714285,1281.1166666666666
1254.2,1255.35,947.55,945.91,1071.09,1067.68,2018,7,6,4,1.1499999999998636,-1.6399999999999864,-3.4099999999998545,-0.00011947431302272715,-0.004085113551416608,-0.005032243635143541,1252.5785714285714,1279.4666666666667
1262.6,1262.05,946.95,948.3,1072.7,1072.87,2018,7,9,0,-0.5499999999999545,1.349999999999909,0.16999999999984539,0.00533715696817616,0.002526667441934194,0.004861007043308607,1254.0785714285714,1278.085
1253.7,1254.0,946.17,945.89,1069.41,1071.17,2018,7,10,1,0.2999999999999545,-0.2799999999999727,1.759999999999991,-0.006378511152489996,-0.0025413898555308734,-0.0015845349389952412,1254.5857142857144,1276.7016666666668
1250.0,1251.4,943.63,943.18,1068.38,1065.57,2018,7,11,2,1.400000000000091,-0.4500000000000455,-2.810000000000173,-0.002073365231259894,-0.002865026588715458,-0.005227928340039489,1255.1000000000001,1275.0583333333334
1244.85,1245.9,942.1,942.15,1065.97,1067.49,2018,7,12,3,1.050000000000182,0.049999999999954525,1.5199999999999818,-0.0043950775131852415,-0.0010920502979282487,0.0018018525296321641,1254.2642857142857,1273.0766666666666
1240.5,1241.7,945.14,942.33,1066.83,1065.88,2018,7,13,4,1.2000000000000455,-2.8099999999999454,-0.9499999999998181,-0.0033710570671804385,0.00019105238019423432,-0.00150821084975028,1252.2714285714287,1271.3133333333333
1244.9,1241.1,938.41,935.42,1063.52,1059.03,2018,7,16,0,-3.800000000000182,-2.990000000000009,-4.490000000000009,-0.000483208504469812,-0.00733288762959905,-0.0064266146282885295,1250.2142857142858,1269.5016666666668
1243.65,1232.8,938.46,936.56,1059.96,1054.29,2018,7,17,1,-10.850000000000136,-1.900000000000091,-5.670000000000073,-0.006687615824671589,0.0012187038977142794,-0.004475793886858703,1246.9928571428572,1267.5266666666669
1223.45,1224.5,938.02,938.82,1052.29,1052.34,2018,7,18,2,1.0499999999999545,0.8000000000000682,0.049999999999954525,-0.00673264114211547,0.0024130861877509346,-0.0018495859772927892,1241.6285714285714,1265.006666666667
1217.4,1217.55,936.06,937.76,1048.79,1049.53,2018,7,19,3,0.14999999999986358,1.7000000000000455,0.7400000000000091,-0.005675786035116426,-0.0011290769263544442,-0.0026702396563847985,1236.4214285714286,1262.35
1224.85,1228.75,940.56,938.03,1050.8,1049.11,2018,7,20,4,3.900000000000091,-2.5299999999999727,-1.6900000000000546,0.009198800870600765,0.00028792015014511563,-0.00040017912780010434,1233.185714285714,1260.0333333333333
1229.45,1224.95,937.21,934.02,1050.93,1046.6,2018,7,23,0,-4.5,-3.1900000000000546,-4.330000000000155,-0.0030925737538147757,-0.004274916580493171,-0.002392504122541994,1230.1928571428573,1257.5450000000003
1224.3,1228.35,933.77,934.77,1047.63,1049.26,2018,7,24,1,4.0499999999999545,1.0,1.6299999999998818,0.002775623494836399,0.0008029806642255721,0.0025415631568890262,1228.2857142857142,1255.2016666666668
1230.55,1231.5,935.09,936.06,1051.75,1052.81,2018,7,25,2,0.9500000000000455,0.9699999999999136,1.0599999999999454,0.002564415679570331,0.001380018614204559,0.0033833368278595177,1226.9142857142856,1253.0466666666666
1228.35,1228.25,931.46,934.33,1049.13,1051.5,2018,7,26,3,-0.09999999999990905,2.8700000000000045,2.369999999999891,-0.0026390580592773327,-0.001848172125718306,-0.0012442890929986739,1226.2642857142857,1250.5633333333333
1219.15,1223.95,931.06,933.38,1048.1,1050.27,2018,7,27,4,4.7999999999999545,2.32000000000005,2.1700000000000728,-0.003500915937309168,-0.0010167713762804231,-0.0011697574893010376,1226.185714285714,1248.52
1222.05,1223.8,931.2,931.68,1045.95,1045.37,2018,7,30,0,1.75,0.4799999999999045,-0.5800000000001546,-0.00012255402589977926,-0.0018213375045533775,-0.004665466975158905,1227.0785714285714,1246.595
1219.2,1220.95,926.71,930.12,1039.86,1043.3,2018,7,31,1,1.75,3.409999999999968,3.4400000000000546,-0.0023288118973687766,-0.0016743946419370825,-0.0019801601346890463,1225.9642857142858,1244.755
1222.75,1219.0,932.47,929.12,1046.55,1043.46,2018,8,1,2,-3.75,-3.3500000000000227,-3.089999999999918,-0.001597116999058179,-0.0010751300907410055,0.0001533595322535941,1225.1142857142856,1242.915
1217.6,1215.45,931.22,931.03,1048.23,1045.89,2018,8,2,3,-2.1499999999998636,-0.19000000000005457,-2.339999999999918,-0.0029122231337160853,0.002055708627518582,0.0023287907538382946,1223.2714285714285,1241.225
1207.7,1216.3,928.6,935.33,1042.97,1050.4,2018,8,3,4,8.599999999999909,6.730000000000018,7.430000000000064,0.0006993294664525695,0.0046185407559371505,0.00431211695302558,1221.1000000000001,1239.4633333333334
1212.0,1209.65,934.94,935.18,1048.26,1047.44,2018,8,6,0,-2.349999999999909,0.2399999999998954,-0.8199999999999363,-0.005467401134588434,-0.00016037120588463516,-0.0028179741051028717,1218.4428571428573,1237.495
1215.4,1212.35,937.32,936.3,1048.77,1045.05,2018,8,7,1,-3.050000000000182,-1.0200000000000955,-3.7200000000000273,0.002232050593146573,0.0011976304027032647,-0.0022817536087986756,1216.7857142857142,1235.8966666666668
1212.35,1209.55,939.57,939.46,1045.17,1043.72,2018,8,8,2,-2.7999999999999545,-0.11000000000001364,-1.4500000000000455,-0.0023095640697817776,0.003374986649578249,-0.0012726663795989968,1214.75,1234.395
1215.5,1214.35,944.08,942.7,1048.13,1047.62,2018,8,9,3,-1.150000000000091,-1.3799999999999955,-0.5100000000002183,0.003968418006696561,0.0034487897302706294,0.0037366343463762774,1213.8071428571427,1233.155
1211.65,1214.4,947.87,952.94,1056.44,1062.6,2018,8,10,4,2.75,5.07000000000005,6.1599999999998545,4.1174290772882927e-05,0.010862416463349955,0.014299077909929236,1213.1499999999999,1231.9533333333334
1204.4,1200.35,944.85,939.27,1058.19,1050.55,2018,8,13,0,-4.050000000000182,-5.580000000000041,-7.6400000000001,-0.011569499341238632,-0.014345079438369712,-0.0113401091661961,1210.9928571428572,1230.3716666666667
1195.3,1197.0,935.32,937.37,1049.11,1051.68,2018,8,14,1,1.7000000000000455,2.0499999999999545,2.5700000000001637,-0.002790852667971744,-0.0020228475305289484,0.0010756270524963085,1208.2357142857143,1228.5466666666666
1186.7,1182.0,933.1,932.83,1047.74,1045.72,2018,8,15,2,-4.7000000000000455,-0.2699999999999818,-2.019999999999982,-0.01253132832080206,-0.004843338276240949,-0.005667123079263647,1204.2857142857142,1226.0916666666667
1179.65,1180.4,928.38,926.61,1037.74,1035.33,2018,8,16,3,0.75,-1.7699999999999818,-2.410000000000082,-0.00135363790186116,-0.00666788160758125,-0.009935738056076282,1199.7214285714285,1223.5883333333334
1176.7,1178.4,925.59,925.63,1032.79,1032.51,2018,8,17,4,1.7000000000000455,0.03999999999996362,-0.2799999999999727,-0.001694340901389313,-0.0010576186313552283,-0.002723769232998108,1195.2714285714285,1221.0233333333335
1188.75,1184.35,933.29,927.58,1042.41,1036.31,2018,8,20,0,-4.400000000000091,-5.709999999999923,-6.100000000000136,0.005049219280379935,0.0021066732927843557,0.0036803517641474937,1190.9857142857143,1218.4333333333334
1194.1,1190.95,931.28,925.61,1036.12,1033.63,2018,8,21,1,-3.1499999999998636,-5.669999999999959,-2.4899999999997817,0.005572676995820647,-0.002123806032902853,-0.0025860987542336566,1187.6357142857144,1216.3316666666665
1196.85,1196.65,928.52,926.21,1032.88,1031.51,2018,8,22,2,-0.1999999999998181,-2.3099999999999454,-1.3700000000001182,0.0047860951341367475,0.0006482211730642895,-0.002051024060834239,1187.107142857143,1214.5066666666667
1187.3,1192.35,923.24,927.05,1027.61,1029.24,2018,8,23,3,5.0499999999999545,3.8099999999999454,1.6300000000001091,-0.003593364810094979,0.0009069217564050547,-0.002200657288829011,1186.4428571428573,1212.7216666666668
1189.95,1197.7,928.76,930.73,1029.43,1030.86,2018,8,24,4,7.75,1.9700000000000273,1.4299999999998363,0.004486937560280291,0.003969580928752547,0.0015739769150051597,1188.6857142857145,1211.255
1212.75,1212.25,939.88,938.28,1037.02,1033.93,2018,8,28,1,-0.5,-1.6000000000000227,-3.089999999999918,0.012148284211405125,0.008111912154975087,0.002978095958714233,1193.2357142857143,1210.2933333333335
1204.3,1204.2,935.14,927.84,1032.33,1029.59,2018,8,29,2,-0.09999999999990905,-7.2999999999999545,-2.740000000000009,-0.006640544442153007,-0.011126742550198188,-0.0041975762382368,1196.9214285714286,1209.34
1202.35,1197.3,924.25,920.6,1028.49,1026.8,2018,8,30,3,-5.0499999999999545,-3.6499999999999773,-1.6900000000000546,-0.005729945191828678,-0.007803069494740522,-0.002709816528909559,1198.7714285714285,1208.4333333333334
1206.85,1202.45,927.58,927.21,1034.03,1033.27,2018,8,31,4,-4.399999999999864,-0.37000000000000455,-0.7599999999999909,0.004301344692224207,0.007180099934825046,0.0063011297234125685,1200.4142857142856,1207.93
1201.7,1200.05,933.0,931.84,1035.75,1033.72,2018,9,3,0,-1.650000000000091,-1.1599999999999682,-2.0299999999999727,-0.0019959249864860418,0.0049934750488023205,0.0004355105635507339,1200.9,1206.9733333333336
1195.75,1190.85,932.57,928.51,1034.2,1032.59,2018,9,4,1,-4.900000000000091,-4.060000000000059,-1.6100000000001273,-0.007666347235531945,-0.0035735748626374297,-0.0010931393414078672,1200.685714285714,1205.8366666666666
1194.7,1196.7,932.46,922.9,1031.74,1029.64,2018,9,5,2,2.0,-9.56000000000006,-2.099999999999909,0.004912457488348787,-0.0060419381589859045,-0.0028568938300775892,1200.542857142857,1204.7816666666665
1204.3,1205.15,931.65,930.98,1035.82,1035.71,2018,9,6,3,0.8500000000001364,-0.6699999999999591,-0.10999999999989996,0.007061084649452765,0.0087550113771806,0.005895264364243813,1199.5285714285715,1203.9033333333332
1200.75,1198.9,928.3,924.71,1031.32,1035.25,2018,9,7,4,-1.849999999999909,-3.589999999999918,3.9300000000000637,-0.005186076422022179,-0.006734838557219236,-0.0004441397688542681,1198.7714285714285,1202.925
1195.8,1196.6,923.28,919.95,1032.45,1031.71,2018,9,10,0,0.7999999999999545,-3.3299999999999272,-0.7400000000000091,-0.001918425223121356,-0.00514755977549719,-0.003419463897609276,1198.6714285714286,1202.0133333333333
1194.0,1189.85,915.92,915.95,1028.75,1027.44,2018,9,11,1,-4.150000000000091,0.030000000000086402,-1.3099999999999454,-0.00564098278455627,-0.004348062394695318,-0.004138759922846513,1196.8714285714284,1200.8816666666667
1197.8,1195.6,919.07,919.18,1033.1,1030.37,2018,9,12,2,-2.2000000000000455,0.10999999999989996,-2.730000000000018,0.004832541917048294,0.0035263933620830468,0.002851748033948276,1196.2357142857143,1200.0366666666666
1206.65,1209.8,924.41,922.84,1038.68,1034.74,2018,9,13,3,3.1499999999998636,-1.5699999999999363,-3.9400000000000546,0.011876881900301228,0.003981809874018305,0.004241194910566293,1198.9428571428573,1199.73
1206.2,1201.95,918.76,917.81,1030.58,1030.07,2018,9,14,4,-4.25,-0.9500000000000455,-0.5099999999999909,-0.006488675814184108,-0.005450565645182315,-0.004513211048186139,1199.6928571428573,1199.2799999999997
1196.8,1201.9,914.0,913.92,1027.21,1027.86,2018,9,17,0,5.100000000000136,-0.08000000000004093,0.6499999999998636,-4.1599068180797616e-05,-0.0042383499852910456,-0.0021454852582835082,1199.2285714285715,1198.8
1199.4,1200.2,913.94,912.39,1026.81,1026.17,2018,9,18,1,0.7999999999999545,-1.5500000000000682,-0.6399999999998727,-0.0014144271570014633,-0.0016741071428570953,-0.0016441927889010444,1199.4142857142856,1198.4850000000001
1203.0,1203.3,912.48,916.19,1028.44,1031.83,2018,9,19,2,0.2999999999999545,3.7100000000000364,3.3899999999998727,0.002582902849525004,0.004164885630048687,0.005515655300778466,1200.3714285714284,1198.1833333333334
1203.0,1208.35,910.55,909.77,1027.72,1027.22,2018,9,20,3,5.349999999999909,-0.7799999999999727,-0.5,0.004196792154907314,-0.007007280149314066,-0.004467790236763691,1203.0142857142857,1198.1433333333332
1207.6,1198.7,914.88,917.25,1025.25,1020.45,2018,9,21,4,-8.899999999999864,2.3700000000000045,-4.7999999999999545,-0.007986096743493043,0.008221858271870941,-0.0065906037655030225,1203.4571428571428,1197.6216666666667
1198.75,1202.75,913.69,914.93,1018.7,1019.57,2018,9,24,0,4.0,1.2399999999998954,0.8700000000000045,0.0033786602152330314,-0.0025292995366585913,-0.0008623646430496734,1202.45,1197.2333333333333
1199.45,1201.9,912.3,914.04,1019.77,1019.93,2018,9,25,1,2.4500000000000455,1.740000000000009,0.15999999999996817,-0.0007067137809186885,-0.0009727520138153034,0.0003530900281489835,1202.4428571428573,1197.285
1198.8,1194.25,910.49,907.15,1018.86,1017.74,2018,9,26,2,-4.5499999999999545,-3.340000000000032,-1.1200000000000045,-0.006364922206506418,-0.007537963327644337,-0.002147206180816319,1201.3500000000001,1197.1933333333334
1196.0,1185.4,911.59,902.56,1020.91,1013.99,2018,9,27,3,-10.599999999999909,-9.030000000000086,-6.919999999999959,-0.007410508687460626,-0.005059802678719083,-0.003684634582506341,1199.2357142857143,1197.3066666666666
1183.5,1187.25,906.44,912.52,1020.41,1025.07,2018,9,28,4,3.75,6.079999999999927,4.659999999999968,0.001560654631348024,0.011035277433079305,0.010927129458870422,1196.9428571428573,1197.5349999999999
1185.3,1189.35,907.94,909.38,1021.02,1024.51,2018,10,1,0,4.0499999999999545,1.4399999999999409,3.490000000000009,0.0017687934301957586,-0.0034410204707842063,-0.0005463041548381398,1194.2285714285715,1197.9
1192.65,1204.7,919.77,928.46,1035.46,1043.75,2018,10,2,1,12.049999999999955,8.690000000000055,8.289999999999964,0.012906209273973346,0.020981327937715788,0.018779709324457494,1195.0857142857144,1198.5783333333334
1203.5,1201.2,925.73,924.56,1040.55,1041.8,2018,10,3,2,-2.2999999999999545,-1.1700000000000728,1.25,-0.0029052876234747504,-0.004200504060487331,-0.0018682634730539105,1194.8642857142856,1198.9199999999998
1199.45,1203.45,925.02,923.41,1043.28,1044.23,2018,10,4,3,4.0,-1.6100000000000136,0.9500000000000455,0.0018731268731269068,-0.0012438349052521502,0.0023325014398156707,1195.0857142857144,1199.1466666666668
